==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 3028331 (/apps/applications/Miniconda/25.11.1/envs/pytorch_2.9.1_cuda13/bin/python3.14)
[p1] mode=full backend=none(control) sm_count=full_gpu
[p1] kernel=bf16_matmul dim=4096 n_warmup=10 n_measure=3
[p1] DONE
==PROF== Disconnected from process 3028331
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"2","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77154980"
"2","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581202563"
"3","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","510336"
"3","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72654602"
"3","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77202350"
"3","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580957199"
"4","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509504"
"4","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72667234"
"4","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77169866"
"4","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581058014"
"5","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509248"
"5","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72655387"
"5","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77140532"
"5","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580963351"
"6","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509184"
"6","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72635305"
"6","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77121384"
"6","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580802428"
"7","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509056"
"7","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72652396"
"7","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77111524"
"7","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580939516"
"8","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509856"
"8","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72662004"
"8","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77161006"
"8","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581016621"
"9","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","510016"
"9","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72685005"
"9","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77183654"
"9","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581200210"
"10","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509984"
"10","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72659104"
"10","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77187838"
"10","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580993188"
"11","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","510400"
"11","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72685752"
"11","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77233738"
"11","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581206007"
"12","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509984"
"12","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72669087"
"12","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77173276"
"12","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","581073124"
"13","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","510080"
"13","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72649611"
"13","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77194772"
"13","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580917036"
"14","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","509760"
"14","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_active.sum","cycle","72645489"
"14","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.sum","cycle","77145094"
"14","3028331","python3.14","127.0.0.1","ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn","1","7","(256, 1, 1)","(32, 16, 1)","0","8.0","Command line profiler metrics","smsp__warps_active.sum","warp","580884213"
