seq_len,layer_type,sm_split,backend,free_sm_fraction,decode_sm_sensitivity,speedup_raw_PROJ,overlap_ratio,overhead_penalty,net_speedup_PROJ,net_gain_PROJ,g1_score,worthwhile
4096,attn,0.7,green_ctx,0.225,0.15,1.2903,0.63,0.005,2.0481,1.0431,0.0338,True
4096,attn,0.3,two_stream,0.225,0.15,1.2903,0.83,0.005,1.5546,0.5496,0.0338,True
4096,attn,0.4,two_stream,0.225,0.15,1.2903,0.815,0.005,1.5832,0.5782,0.0338,True
4096,attn,0.5,two_stream,0.225,0.15,1.2903,0.8,0.005,1.6129,0.6079,0.0338,True
4096,attn,0.6,two_stream,0.225,0.15,1.2903,0.815,0.005,1.5832,0.5782,0.0338,True
4096,attn,0.7,two_stream,0.225,0.15,1.2903,0.83,0.005,1.5546,0.5496,0.0338,True
8192,ssm,0.3,green_ctx,0.5938,0.3,2.4618,0.63,0.005,3.9077,2.9027,0.1781,True
8192,ssm,0.4,green_ctx,0.5938,0.3,2.4618,0.59,0.005,4.1726,3.1676,0.1781,True
8192,ssm,0.5,green_ctx,0.5938,0.3,2.4618,0.55,0.005,4.4761,3.4711,0.1781,True
8192,ssm,0.6,green_ctx,0.5938,0.3,2.4618,0.59,0.005,4.1726,3.1676,0.1781,True
8192,ssm,0.7,green_ctx,0.5938,0.3,2.4618,0.63,0.005,3.9077,2.9027,0.1781,True
8192,ssm,0.3,two_stream,0.5938,0.3,2.4618,0.83,0.005,2.9661,1.9611,0.1781,True
8192,ssm,0.4,two_stream,0.5938,0.3,2.4618,0.815,0.005,3.0207,2.0157,0.1781,True
8192,ssm,0.5,two_stream,0.5938,0.3,2.4618,0.8,0.005,3.0773,2.0723,0.1781,True
8192,ssm,0.6,two_stream,0.5938,0.3,2.4618,0.815,0.005,3.0207,2.0157,0.1781,True
8192,ssm,0.7,two_stream,0.5938,0.3,2.4618,0.83,0.005,2.9661,1.9611,0.1781,True
8192,attn,0.3,green_ctx,0.1813,0.15,1.2214,0.63,0.005,1.9388,0.9338,0.0272,True
8192,attn,0.4,green_ctx,0.1813,0.15,1.2214,0.59,0.005,2.0703,1.0653,0.0272,True
8192,attn,0.5,green_ctx,0.1813,0.15,1.2214,0.55,0.005,2.2208,1.2158,0.0272,True
8192,attn,0.6,green_ctx,0.1813,0.15,1.2214,0.59,0.005,2.0703,1.0653,0.0272,True
8192,attn,0.7,green_ctx,0.1813,0.15,1.2214,0.63,0.005,1.9388,0.9338,0.0272,True
8192,attn,0.3,two_stream,0.1813,0.15,1.2214,0.83,0.005,1.4716,0.4666,0.0272,True
8192,attn,0.4,two_stream,0.1813,0.15,1.2214,0.815,0.005,1.4987,0.4937,0.0272,True
8192,attn,0.5,two_stream,0.1813,0.15,1.2214,0.8,0.005,1.5268,0.5218,0.0272,True
8192,attn,0.6,two_stream,0.1813,0.15,1.2214,0.815,0.005,1.4987,0.4937,0.0272,True
8192,attn,0.7,two_stream,0.1813,0.15,1.2214,0.83,0.005,1.4716,0.4666,0.0272,True
16384,ssm,0.3,green_ctx,0.5625,0.3,2.2857,0.63,0.005,3.6281,2.6231,0.1687,True
16384,ssm,0.4,green_ctx,0.5625,0.3,2.2857,0.59,0.005,3.8741,2.8691,0.1687,True
16384,ssm,0.5,green_ctx,0.5625,0.3,2.2857,0.55,0.005,4.1558,3.1508,0.1687,True
16384,ssm,0.6,green_ctx,0.5625,0.3,2.2857,0.59,0.005,3.8741,2.8691,0.1687,True
16384,ssm,0.7,green_ctx,0.5625,0.3,2.2857,0.63,0.005,3.6281,2.6231,0.1687,True
16384,ssm,0.3,two_stream,0.5625,0.3,2.2857,0.83,0.005,2.7539,1.7489,0.1687,True
16384,ssm,0.4,two_stream,0.5625,0.3,2.2857,0.815,0.005,2.8046,1.7996,0.1687,True
16384,ssm,0.5,two_stream,0.5625,0.3,2.2857,0.8,0.005,2.8571,1.8521,0.1687,True
16384,ssm,0.6,two_stream,0.5625,0.3,2.2857,0.815,0.005,2.8046,1.7996,0.1687,True
16384,ssm,0.7,two_stream,0.5625,0.3,2.2857,0.83,0.005,2.7539,1.7489,0.1687,True
16384,attn,0.3,green_ctx,0.1375,0.15,1.1594,0.63,0.005,1.8403,0.8353,0.0206,True
16384,attn,0.4,green_ctx,0.1375,0.15,1.1594,0.59,0.005,1.9651,0.9601,0.0206,True
16384,attn,0.5,green_ctx,0.1375,0.15,1.1594,0.55,0.005,2.108,1.103,0.0206,True
16384,attn,0.6,green_ctx,0.1375,0.15,1.1594,0.59,0.005,1.9651,0.9601,0.0206,True
16384,attn,0.7,green_ctx,0.1375,0.15,1.1594,0.63,0.005,1.8403,0.8353,0.0206,True
16384,attn,0.3,two_stream,0.1375,0.15,1.1594,0.83,0.005,1.3969,0.3919,0.0206,True
16384,attn,0.4,two_stream,0.1375,0.15,1.1594,0.815,0.005,1.4226,0.4176,0.0206,True
16384,attn,0.5,two_stream,0.1375,0.15,1.1594,0.8,0.005,1.4493,0.4443,0.0206,True
16384,attn,0.6,two_stream,0.1375,0.15,1.1594,0.815,0.005,1.4226,0.4176,0.0206,True
16384,attn,0.7,two_stream,0.1375,0.15,1.1594,0.83,0.005,1.3969,0.3919,0.0206,True
